Word,Cond,Frequency,Condition,LengthWord,Group,Corr
nun,study,low,homophone,3,A,J
none,study,high,homophone,4,B,J
deer,study,low,homophone,4,B,J
dear,study,high,homophone,4,A,J
pear,study,low,homophone,4,A,J
pair,study,high,homophone,4,B,J
sail,study,low,homophone,4,B,J
sale,study,high,homophone,4,A,J
mane,study,low,homophone,4,A,J
main,study,high,homophone,4,B,J
ate,study,low,homophone,3,B,J
eight,study,high,homophone,5,A,J
eye,study,low,homophone,3,A,J
I,study,high,homophone,1,B,J
four,study,low,homophone,4,B,J
for,study,high,homophone,3,A,J
knight,study,low,homophone,6,A,J
night,study,high,homophone,5,B,J
mail,study,low,homophone,4,B,J
male,study,high,homophone,4,A,J
meat,study,low,homophone,4,A,J
meet,study,high,homophone,4,B,J
won,study,low,homophone,3,B,J
one,study,high,homophone,3,A,J
vial,study,low,none,4,A,J
plug,study,low,none,4,A,J
tower,study,low,none,5,A,J
piece,study,low,none,5,A,J
worm,study,low,none,4,A,J
bait,study,low,none,4,A,J
house,study,high,none,5,A,J
money,study,high,none,5,A,J
love,study,high,none,4,A,J
shop,study,high,none,4,A,J
news,study,high,none,4,A,J
very,study,high,none,4,A,J
vial,study,low,none,4,B,J
plug,study,low,none,4,B,J
tower,study,low,none,5,B,J
piece,study,low,none,5,B,J
worm,study,low,none,4,B,J
bait,study,low,none,4,B,J
house,study,high,none,5,B,J
money,study,high,none,5,B,J
love,study,high,none,4,B,J
shop,study,high,none,4,B,J
news,study,high,none,4,B,J
very,study,high,none,4,B,J
fran,study,,nonword,4,A,F
ulti,study,,nonword,4,A,F
swool,study,,nonword,5,A,F
dect,study,,nonword,4,A,F
deor,study,,nonword,4,A,F
minx,study,,nonword,4,A,F
ro,study,,nonword,2,A,F
brunt,study,,nonword,5,A,F
rif,study,,nonword,3,A,F
flog,study,,nonword,4,A,F
lom,study,,nonword,3,A,F
smon,study,,nonword,4,A,F
gi,study,,nonword,2,A,F
houst,study,,nonword,5,A,F
stants,study,,nonword,6,A,F
keet,study,,nonword,4,A,F
taird,study,,nonword,5,A,F
ird,study,,nonword,3,A,F
tiw,study,,nonword,3,A,F
yigh,study,,nonword,4,A,F
kyx,study,,nonword,3,A,F
lals,study,,nonword,4,A,F
molk,study,,nonword,4,A,F
swyc,study,,nonword,4,A,F
fran,study,,nonword,4,B,F
ulti,study,,nonword,4,B,F
swool,study,,nonword,5,B,F
dect,study,,nonword,4,B,F
deor,study,,nonword,4,B,F
minx,study,,nonword,4,B,F
ro,study,,nonword,2,B,F
brunt,study,,nonword,5,B,F
rif,study,,nonword,3,B,F
flog,study,,nonword,4,B,F
lom,study,,nonword,3,B,F
smon,study,,nonword,4,B,F
gi,study,,nonword,2,B,F
houst,study,,nonword,5,B,F
stants,study,,nonword,6,B,F
keet,study,,nonword,4,B,F
taird,study,,nonword,5,B,F
ird,study,,nonword,3,B,F
tiw,study,,nonword,3,B,F
yigh,study,,nonword,4,B,F
kyx,study,,nonword,3,B,F
lals,study,,nonword,4,B,F
molk,study,,nonword,4,B,F
swyc,study,,nonword,4,B,F
